Frame 1: Fitness=0.2669, RMSE=0.0528
Frame 2: Fitness=0.1731, RMSE=0.0520
Frame 3: Fitness=0.1280, RMSE=0.0540
Frame 4: Fitness=0.1451, RMSE=0.0529
Frame 5: Fitness=0.0666, RMSE=0.0537
Frame 6: Fitness=0.1069, RMSE=0.0527
Frame 7: Fitness=0.1568, RMSE=0.0544
Frame 8: Fitness=0.1461, RMSE=0.0552
Frame 9: Fitness=0.1456, RMSE=0.0533
Frame 10: Fitness=0.1586, RMSE=0.0542
Frame 11: Fitness=0.1676, RMSE=0.0530
Frame 12: Fitness=0.2412, RMSE=0.0529
Frame 13: Fitness=0.2377, RMSE=0.0528
Frame 14: Fitness=0.3002, RMSE=0.0525
Frame 15: Fitness=0.3063, RMSE=0.0529
Frame 16: Fitness=0.3696, RMSE=0.0523
Frame 17: Fitness=0.3265, RMSE=0.0525
Frame 18: Fitness=0.3855, RMSE=0.0528
Frame 19: Fitness=0.4040, RMSE=0.0521
Frame 20: Fitness=0.4329, RMSE=0.0511
Frame 21: Fitness=0.3980, RMSE=0.0515
Frame 22: Fitness=0.4329, RMSE=0.0505
Frame 23: Fitness=0.4769, RMSE=0.0502
Frame 24: Fitness=0.3508, RMSE=0.0515
Frame 25: Fitness=0.4626, RMSE=0.0512
Frame 26: Fitness=0.5496, RMSE=0.0502
Frame 27: Fitness=0.4529, RMSE=0.0497
Frame 28: Fitness=0.4478, RMSE=0.0505
Frame 29: Fitness=0.5694, RMSE=0.0494
Frame 30: Fitness=0.4658, RMSE=0.0503
Frame 31: Fitness=0.5095, RMSE=0.0495
Frame 32: Fitness=0.2408, RMSE=0.0514
Frame 33: Fitness=0.4140, RMSE=0.0509
Frame 34: Fitness=0.4688, RMSE=0.0498
Frame 35: Fitness=0.5625, RMSE=0.0501
Frame 36: Fitness=0.3998, RMSE=0.0505
Frame 37: Fitness=0.3323, RMSE=0.0512
Frame 38: Fitness=0.1919, RMSE=0.0503
Frame 39: Fitness=0.5360, RMSE=0.0496
Frame 40: Fitness=0.4105, RMSE=0.0494
Frame 41: Fitness=0.4729, RMSE=0.0511
Frame 42: Fitness=0.4259, RMSE=0.0499
Frame 43: Fitness=0.3065, RMSE=0.0486
Frame 44: Fitness=0.4976, RMSE=0.0505
Frame 45: Fitness=0.4629, RMSE=0.0497
Frame 46: Fitness=0.6457, RMSE=0.0485
Frame 47: Fitness=0.2764, RMSE=0.0476
Frame 48: Fitness=0.5103, RMSE=0.0485
Frame 49: Fitness=0.5307, RMSE=0.0495
Frame 50: Fitness=0.3716, RMSE=0.0495
Frame 51: Fitness=0.2991, RMSE=0.0490
Frame 52: Fitness=0.2379, RMSE=0.0499
Frame 53: Fitness=0.3550, RMSE=0.0489
Frame 54: Fitness=0.3707, RMSE=0.0486
Frame 55: Fitness=0.2964, RMSE=0.0508
Frame 56: Fitness=0.1981, RMSE=0.0501
Frame 57: Fitness=0.3391, RMSE=0.0489
Frame 58: Fitness=0.4067, RMSE=0.0483
