Frame 1: Fitness=0.7001, RMSE=0.0702
Frame 2: Fitness=0.8174, RMSE=0.0630
Frame 3: Fitness=0.8668, RMSE=0.0631
Frame 4: Fitness=0.2005, RMSE=0.0827
Frame 5: Fitness=0.7495, RMSE=0.0578
Frame 6: Fitness=0.8044, RMSE=0.0607
Frame 7: Fitness=0.3558, RMSE=0.0814
Frame 8: Fitness=0.6781, RMSE=0.0704
Frame 9: Fitness=0.8254, RMSE=0.0657
Frame 10: Fitness=0.2423, RMSE=0.0791
Frame 11: Fitness=0.7394, RMSE=0.0633
Frame 12: Fitness=0.5571, RMSE=0.0700
Frame 13: Fitness=0.6980, RMSE=0.0673
Frame 14: Fitness=0.4511, RMSE=0.0759
Frame 15: Fitness=0.6340, RMSE=0.0749
Frame 16: Fitness=0.6574, RMSE=0.0729
Frame 17: Fitness=0.7009, RMSE=0.0662
Frame 18: Fitness=0.6594, RMSE=0.0673
Frame 19: Fitness=0.1280, RMSE=0.0896
Frame 20: Fitness=0.1010, RMSE=0.0852
Frame 21: Fitness=0.6649, RMSE=0.0730
Frame 22: Fitness=0.7003, RMSE=0.0694
Frame 23: Fitness=0.6802, RMSE=0.0635
Frame 24: Fitness=0.6547, RMSE=0.0680
Frame 25: Fitness=0.0407, RMSE=0.0908
Frame 26: Fitness=0.5856, RMSE=0.0760
Frame 27: Fitness=0.6957, RMSE=0.0681
Frame 28: Fitness=0.6492, RMSE=0.0696
Frame 29: Fitness=0.7538, RMSE=0.0679
Frame 30: Fitness=0.7243, RMSE=0.0593
Frame 31: Fitness=0.7651, RMSE=0.0654
Frame 32: Fitness=0.6996, RMSE=0.0672
Frame 33: Fitness=0.5434, RMSE=0.0721
Frame 34: Fitness=0.6671, RMSE=0.0671
Frame 35: Fitness=0.7113, RMSE=0.0635
Frame 36: Fitness=0.4796, RMSE=0.0612
Frame 37: Fitness=0.6927, RMSE=0.0676
Frame 38: Fitness=0.8202, RMSE=0.0650
Frame 39: Fitness=0.7787, RMSE=0.0622
Frame 40: Fitness=0.8264, RMSE=0.0559
Frame 41: Fitness=0.7600, RMSE=0.0545
Frame 42: Fitness=0.7812, RMSE=0.0558
Frame 43: Fitness=0.7155, RMSE=0.0638
Frame 44: Fitness=0.7469, RMSE=0.0577
Frame 45: Fitness=0.6944, RMSE=0.0594
Frame 46: Fitness=0.7151, RMSE=0.0635
Frame 47: Fitness=0.6137, RMSE=0.0590
Frame 48: Fitness=0.0799, RMSE=0.0949
Frame 49: Fitness=0.6698, RMSE=0.0688
Frame 50: Fitness=0.5433, RMSE=0.0717
Frame 51: Fitness=0.6422, RMSE=0.0638
Frame 52: Fitness=0.6923, RMSE=0.0688
Frame 53: Fitness=0.4358, RMSE=0.0792
Frame 54: Fitness=0.6433, RMSE=0.0772
Frame 55: Fitness=0.6211, RMSE=0.0699
Frame 56: Fitness=0.7022, RMSE=0.0627
Frame 57: Fitness=0.7340, RMSE=0.0613
Frame 58: Fitness=0.8413, RMSE=0.0576

Tempo totale esecuzione: 21.50 secondi
