Frame 1: Fitness=0.6957, RMSE=0.0701
Frame 2: Fitness=0.8139, RMSE=0.0636
Frame 3: Fitness=0.8627, RMSE=0.0628
Frame 4: Fitness=0.1956, RMSE=0.0825
Frame 5: Fitness=0.7615, RMSE=0.0584
Frame 6: Fitness=0.8059, RMSE=0.0613
Frame 7: Fitness=0.3158, RMSE=0.0877
Frame 8: Fitness=0.1038, RMSE=0.0868
Frame 9: Fitness=0.7758, RMSE=0.0714
Frame 10: Fitness=0.7785, RMSE=0.0588
Frame 11: Fitness=0.7916, RMSE=0.0562
Frame 12: Fitness=0.5605, RMSE=0.0685
Frame 13: Fitness=0.6874, RMSE=0.0643
Frame 14: Fitness=0.6676, RMSE=0.0683
Frame 15: Fitness=0.6536, RMSE=0.0706
Frame 16: Fitness=0.6401, RMSE=0.0694
Frame 17: Fitness=0.5909, RMSE=0.0762
Frame 18: Fitness=0.0782, RMSE=0.0935
Frame 19: Fitness=0.6526, RMSE=0.0787
Frame 20: Fitness=0.6916, RMSE=0.0693
Frame 21: Fitness=0.7213, RMSE=0.0663
Frame 22: Fitness=0.6858, RMSE=0.0667
Frame 23: Fitness=0.7209, RMSE=0.0635
Frame 24: Fitness=0.6698, RMSE=0.0664
Frame 25: Fitness=0.6521, RMSE=0.0674
Frame 26: Fitness=0.0759, RMSE=0.0939
Frame 27: Fitness=0.6158, RMSE=0.0732
Frame 28: Fitness=0.6130, RMSE=0.0752
Frame 29: Fitness=0.7431, RMSE=0.0695
Frame 30: Fitness=0.7236, RMSE=0.0622
Frame 31: Fitness=0.7664, RMSE=0.0667
Frame 32: Fitness=0.7018, RMSE=0.0677
Frame 33: Fitness=0.6847, RMSE=0.0627
Frame 34: Fitness=0.6889, RMSE=0.0666
Frame 35: Fitness=0.3078, RMSE=0.0837
Frame 36: Fitness=0.4698, RMSE=0.0691
Frame 37: Fitness=0.6609, RMSE=0.0705
Frame 38: Fitness=0.8124, RMSE=0.0658
Frame 39: Fitness=0.7823, RMSE=0.0622
Frame 40: Fitness=0.8238, RMSE=0.0573
Frame 41: Fitness=0.7955, RMSE=0.0570
Frame 42: Fitness=0.7820, RMSE=0.0550
Frame 43: Fitness=0.7324, RMSE=0.0637
Frame 44: Fitness=0.7577, RMSE=0.0578
Frame 45: Fitness=0.7151, RMSE=0.0588
Frame 46: Fitness=0.7206, RMSE=0.0643
Frame 47: Fitness=0.6835, RMSE=0.0613
Frame 48: Fitness=0.6361, RMSE=0.0631
Frame 49: Fitness=0.7598, RMSE=0.0645
Frame 50: Fitness=0.7575, RMSE=0.0583
Frame 51: Fitness=0.6370, RMSE=0.0573
Frame 52: Fitness=0.5750, RMSE=0.0838
Frame 53: Fitness=0.4325, RMSE=0.0805
Frame 54: Fitness=0.6440, RMSE=0.0758
Frame 55: Fitness=0.6179, RMSE=0.0697
Frame 56: Fitness=0.6961, RMSE=0.0640
Frame 57: Fitness=0.7358, RMSE=0.0622
Frame 58: Fitness=0.8438, RMSE=0.0583

Tempo totale esecuzione: 24.65 secondi
