Frame 1: Fitness=0.3693, RMSE=0.0575
Frame 2: Fitness=0.7204, RMSE=0.0496
Frame 3: Fitness=0.7339, RMSE=0.0505
Frame 4: Fitness=0.1588, RMSE=0.0545
Frame 5: Fitness=0.6234, RMSE=0.0497
Frame 6: Fitness=0.5823, RMSE=0.0490
Frame 7: Fitness=0.5312, RMSE=0.0626
Frame 8: Fitness=0.5369, RMSE=0.0489
Frame 9: Fitness=0.6291, RMSE=0.0499
Frame 10: Fitness=0.7140, RMSE=0.0444
Frame 11: Fitness=0.7002, RMSE=0.0422
Frame 12: Fitness=0.3800, RMSE=0.0501
Frame 13: Fitness=0.4380, RMSE=0.0497
Frame 14: Fitness=0.4703, RMSE=0.0529
Frame 15: Fitness=0.4027, RMSE=0.0519
Frame 16: Fitness=0.0989, RMSE=0.0614
Frame 17: Fitness=0.4696, RMSE=0.0544
Frame 18: Fitness=0.3693, RMSE=0.0454
Frame 19: Fitness=0.4083, RMSE=0.0528
Frame 20: Fitness=0.5127, RMSE=0.0503
Frame 21: Fitness=0.4496, RMSE=0.0459
Frame 22: Fitness=0.4526, RMSE=0.0479
Frame 23: Fitness=0.4563, RMSE=0.0518
Frame 24: Fitness=0.4089, RMSE=0.0488
Frame 25: Fitness=0.4100, RMSE=0.0538
Frame 26: Fitness=0.3273, RMSE=0.0540
Frame 27: Fitness=0.4860, RMSE=0.0510
Frame 28: Fitness=0.3591, RMSE=0.0512
Frame 29: Fitness=0.3497, RMSE=0.0483
Frame 30: Fitness=0.4402, RMSE=0.0490
Frame 31: Fitness=0.4500, RMSE=0.0491
Frame 32: Fitness=0.3658, RMSE=0.0513
Frame 33: Fitness=0.4139, RMSE=0.0494
Frame 34: Fitness=0.2610, RMSE=0.0530
Frame 35: Fitness=0.4211, RMSE=0.0492
Frame 36: Fitness=0.1320, RMSE=0.0632
Frame 37: Fitness=0.3998, RMSE=0.0536
Frame 38: Fitness=0.3837, RMSE=0.0603
Frame 39: Fitness=0.5660, RMSE=0.0508
Frame 40: Fitness=0.5859, RMSE=0.0478
Frame 41: Fitness=0.6473, RMSE=0.0456
Frame 42: Fitness=0.6484, RMSE=0.0417
Frame 43: Fitness=0.4611, RMSE=0.0487
Frame 44: Fitness=0.5354, RMSE=0.0480
Frame 45: Fitness=0.4860, RMSE=0.0425
Frame 46: Fitness=0.3612, RMSE=0.0486
Frame 47: Fitness=0.4310, RMSE=0.0468
Frame 48: Fitness=0.3516, RMSE=0.0445
Frame 49: Fitness=0.3866, RMSE=0.0475
Frame 50: Fitness=0.5225, RMSE=0.0464
Frame 51: Fitness=0.4364, RMSE=0.0482
Frame 52: Fitness=0.2689, RMSE=0.0574
Frame 53: Fitness=0.1266, RMSE=0.0572
Frame 54: Fitness=0.3196, RMSE=0.0554
Frame 55: Fitness=0.3876, RMSE=0.0539
Frame 56: Fitness=0.5157, RMSE=0.0508
Frame 57: Fitness=0.5223, RMSE=0.0479
Frame 58: Fitness=0.5056, RMSE=0.0570

Tempo totale esecuzione: 15.11 secondi
