Frame 1: Fitness=0.5963, RMSE=0.0568
Frame 2: Fitness=0.7229, RMSE=0.0500
Frame 3: Fitness=0.7492, RMSE=0.0469
Frame 4: Fitness=0.1728, RMSE=0.0565
Frame 5: Fitness=0.6689, RMSE=0.0465
Frame 6: Fitness=0.7000, RMSE=0.0502
Frame 7: Fitness=0.5452, RMSE=0.0528
Frame 8: Fitness=0.6655, RMSE=0.0500
Frame 9: Fitness=0.7207, RMSE=0.0526
Frame 10: Fitness=0.7973, RMSE=0.0466
Frame 11: Fitness=0.7802, RMSE=0.0437
Frame 12: Fitness=0.1365, RMSE=0.0605
Frame 13: Fitness=0.5165, RMSE=0.0540
Frame 14: Fitness=0.5535, RMSE=0.0552
Frame 15: Fitness=0.5361, RMSE=0.0535
Frame 16: Fitness=0.5119, RMSE=0.0529
Frame 17: Fitness=0.6058, RMSE=0.0507
Frame 18: Fitness=0.5699, RMSE=0.0501
Frame 19: Fitness=0.6068, RMSE=0.0549
Frame 20: Fitness=0.6219, RMSE=0.0504
Frame 21: Fitness=0.6272, RMSE=0.0508
Frame 22: Fitness=0.6176, RMSE=0.0515
Frame 23: Fitness=0.6234, RMSE=0.0503
Frame 24: Fitness=0.5637, RMSE=0.0517
Frame 25: Fitness=0.4907, RMSE=0.0554
Frame 26: Fitness=0.4852, RMSE=0.0554
Frame 27: Fitness=0.6050, RMSE=0.0520
Frame 28: Fitness=0.5655, RMSE=0.0535
Frame 29: Fitness=0.6684, RMSE=0.0542
Frame 30: Fitness=0.6621, RMSE=0.0520
Frame 31: Fitness=0.6684, RMSE=0.0504
Frame 32: Fitness=0.6001, RMSE=0.0534
Frame 33: Fitness=0.6177, RMSE=0.0490
Frame 34: Fitness=0.5806, RMSE=0.0513
Frame 35: Fitness=0.6294, RMSE=0.0488
Frame 36: Fitness=0.4327, RMSE=0.0493
Frame 37: Fitness=0.6007, RMSE=0.0534
Frame 38: Fitness=0.7366, RMSE=0.0482
Frame 39: Fitness=0.6920, RMSE=0.0493
Frame 40: Fitness=0.7592, RMSE=0.0474
Frame 41: Fitness=0.7000, RMSE=0.0444
Frame 42: Fitness=0.7119, RMSE=0.0437
Frame 43: Fitness=0.6256, RMSE=0.0494
Frame 44: Fitness=0.6907, RMSE=0.0491
Frame 45: Fitness=0.5271, RMSE=0.0480
Frame 46: Fitness=0.6316, RMSE=0.0513
Frame 47: Fitness=0.4406, RMSE=0.0486
Frame 48: Fitness=0.5289, RMSE=0.0501
Frame 49: Fitness=0.6568, RMSE=0.0508
Frame 50: Fitness=0.6866, RMSE=0.0468
Frame 51: Fitness=0.5922, RMSE=0.0469
Frame 52: Fitness=0.5942, RMSE=0.0532
Frame 53: Fitness=0.3356, RMSE=0.0564
Frame 54: Fitness=0.4447, RMSE=0.0595
Frame 55: Fitness=0.5256, RMSE=0.0549
Frame 56: Fitness=0.1960, RMSE=0.0602
Frame 57: Fitness=0.5924, RMSE=0.0546
Frame 58: Fitness=0.7523, RMSE=0.0528

Tempo totale esecuzione: 24.63 secondi
