Frame 1: Fitness=0.5792, RMSE=0.0564
Frame 2: Fitness=0.7086, RMSE=0.0495
Frame 3: Fitness=0.7457, RMSE=0.0475
Frame 4: Fitness=0.1659, RMSE=0.0570
Frame 5: Fitness=0.6836, RMSE=0.0477
Frame 6: Fitness=0.6936, RMSE=0.0506
Frame 7: Fitness=0.5363, RMSE=0.0534
Frame 8: Fitness=0.6559, RMSE=0.0493
Frame 9: Fitness=0.7386, RMSE=0.0515
Frame 10: Fitness=0.7973, RMSE=0.0464
Frame 11: Fitness=0.7851, RMSE=0.0439
Frame 12: Fitness=0.1471, RMSE=0.0623
Frame 13: Fitness=0.5122, RMSE=0.0538
Frame 14: Fitness=0.5664, RMSE=0.0556
Frame 15: Fitness=0.5472, RMSE=0.0537
Frame 16: Fitness=0.5252, RMSE=0.0540
Frame 17: Fitness=0.6192, RMSE=0.0516
Frame 18: Fitness=0.5564, RMSE=0.0506
Frame 19: Fitness=0.6158, RMSE=0.0554
Frame 20: Fitness=0.6553, RMSE=0.0510
Frame 21: Fitness=0.4718, RMSE=0.0541
Frame 22: Fitness=0.5879, RMSE=0.0542
Frame 23: Fitness=0.6312, RMSE=0.0510
Frame 24: Fitness=0.5835, RMSE=0.0522
Frame 25: Fitness=0.4943, RMSE=0.0553
Frame 26: Fitness=0.4908, RMSE=0.0558
Frame 27: Fitness=0.6095, RMSE=0.0525
Frame 28: Fitness=0.5693, RMSE=0.0538
Frame 29: Fitness=0.6801, RMSE=0.0549
Frame 30: Fitness=0.6669, RMSE=0.0503
Frame 31: Fitness=0.6725, RMSE=0.0509
Frame 32: Fitness=0.6182, RMSE=0.0522
Frame 33: Fitness=0.6210, RMSE=0.0493
Frame 34: Fitness=0.5890, RMSE=0.0524
Frame 35: Fitness=0.6347, RMSE=0.0502
Frame 36: Fitness=0.4353, RMSE=0.0493
Frame 37: Fitness=0.5807, RMSE=0.0535
Frame 38: Fitness=0.7275, RMSE=0.0484
Frame 39: Fitness=0.6941, RMSE=0.0500
Frame 40: Fitness=0.7596, RMSE=0.0475
Frame 41: Fitness=0.7315, RMSE=0.0461
Frame 42: Fitness=0.7190, RMSE=0.0436
Frame 43: Fitness=0.6463, RMSE=0.0495
Frame 44: Fitness=0.7002, RMSE=0.0489
Frame 45: Fitness=0.6360, RMSE=0.0459
Frame 46: Fitness=0.6544, RMSE=0.0505
Frame 47: Fitness=0.6065, RMSE=0.0485
Frame 48: Fitness=0.4727, RMSE=0.0522
Frame 49: Fitness=0.6393, RMSE=0.0527
Frame 50: Fitness=0.6875, RMSE=0.0472
Frame 51: Fitness=0.5795, RMSE=0.0471
Frame 52: Fitness=0.5927, RMSE=0.0546
Frame 53: Fitness=0.3429, RMSE=0.0560
Frame 54: Fitness=0.5028, RMSE=0.0557
Frame 55: Fitness=0.5168, RMSE=0.0574
Frame 56: Fitness=0.1570, RMSE=0.0613
Frame 57: Fitness=0.5373, RMSE=0.0577
Frame 58: Fitness=0.7386, RMSE=0.0508

Tempo totale esecuzione: 18.98 secondi
