base_name	time
waypoint_ago-craw-Z+Tlyr3W+OTq.sTysXDUQg==	1761738340.9093134
waypoint_rabid-guinea-pxAC19MJfaTkm9yqoUH0GA==	1761738350.3785982
waypoint_plump-lizard-EoRTfbba93CQPDXX87Rziw==	1761738352.1124427
waypoint_goosey-pig-+9.+zK3z2pUbO6w5RH1k8w==	1761738355.9134753
waypoint_waste-bird-ErX3iGA73SRIcZ2D+RzOKg==	1761738363.6469874
waypoint_liked-colt-oi9WIdHpq3QTk0wBauZYPA==	1761738365.0461578
waypoint_nary-seal-.jVqttRTa7LtoaRM+7abVg==	1761738368.180198
waypoint_blotto-rabbit-YUVi2w66nm6bqnCxxB+O7w==	1761738373.0469239
waypoint_veined-frog-xCmwHuhp9cyY0yUEicq.sw==	1761738377.6480408
waypoint_size-cicala-QTEw6MfbgZZcs0MS2.050Q==	1761738381.9148328
waypoint_enured-badger-eih8qhyFtee4Wm2vqy1Mtg==	1761738386.3823586
waypoint_runny-manx-OHo.MoxTgXWrgZDe8KOZ4g==	1761738390.7834206
waypoint_humped-bonobo-3zDTb7zwoVIsPoG0bYLTag==	1761738395.4513485
waypoint_sparse-cod-JPbxhp8X0sfyJDjPUY5lbw==	1761738400.1186826
waypoint_aloof-ocelot-3LboNYJHxWrD+i2FzDUb8g==	1761738404.5236995
waypoint_aired-leech-AtmIZXKR.XQ2wUb5yvbGdQ==	1761738408.9239542
waypoint_ruby-hornet-hHlgPoapxHAGy5YSqReW5g==	1761738413.5898569
waypoint_twelve-slug-0wyxoqgAgUYGft1urZnkSQ==	1761738418.0562325
waypoint_pudgy-llama-3qRbB1AzEF72CZH.96KU6g==	1761738422.5242665
waypoint_pent-toad-FeyHusril86R5VGwNbcIKA==	1761738426.9262552
waypoint_tacit-cattle-lZAFoZBlzfyC5Av5yBNqNg==	1761738431.526605
waypoint_mouldy-ram-KyMu2PlO0chU9HKeqCjWPQ==	1761738435.7944922
waypoint_scaley-magpie-XnUVDZeBC0e9aQO+QQdgaw==	1761738440.4632897
waypoint_marred-corgi-TVI0yWdBkgFQVBO8IlVqew==	1761738444.8646603
waypoint_aboral-cougar-fatk0OVy688pctwphcQDag==	1761738449.3336422
waypoint_chic-ape-gXZpV+9IYnBenSDyKgIFoQ==	1761738453.9353971
waypoint_ageing-cuckoo-ayUQBAcx18AvVk.L38k0tQ==	1761738458.4024053
waypoint_lite-weasel-OWCG70GJp4tbyl2LoSSUAg==	1761738462.8702834
waypoint_uncool-macaw-6NT3Siwx+BQLMAfnQ3CwGQ==	1761738467.2720435
waypoint_alary-puma-XAlG9gjcQND1wimCxd+cVw==	1761738471.8745172
waypoint_unclad-aphid-dO0X98FstM+zWJ+G+UTRvw==	1761738476.3398216
waypoint_prize-dragon-LOGxJTH.wl.SGN2DbrWwMw==	1761738480.872965
waypoint_rabid-jay-ESJgNc3wdit1p.DUNfSAUw==	1761738485.3396885
waypoint_shifty-hare-7DvDFSxjDtF5PtnkahNg7Q==	1761738489.7404695
waypoint_twin-lapdog-GpU.APe5hZUDccuoKR9epg==	1761738494.2084236
waypoint_brute-ram-mXwTG3dhMnmSEwqXqnHkjg==	1761738498.6100795
waypoint_atonal-oxen-+6gAKY5kiYAzv0urD0Wbfw==	1761738503.213083
waypoint_leafy-newt-K+5UHJrKhcd9oRM1QuXePQ==	1761738504.6801488
waypoint_bedrid-fleece-EiaEpoEDgQtMtNlMyclV+A==	1761738506.1491277
waypoint_presto-guinea-SALQS4wHc9av6wULBlnscw==	1761738510.5485902
waypoint_kaput-hyena-jigMXDowndodQYvCMz8idg==	1761738515.015097
waypoint_brushy-mole-90vdsUg13iTsZhMRX77RYw==	1761738519.416134
waypoint_tetchy-rhino-0FkyMphfg9bkHJt.oX9X9w==	1761738521.6833973
waypoint_sacked-carp-OvB4uTD2W8jKGxhR.BQR5Q==	1761738526.2176979
waypoint_moist-shrimp-Tgn61YEhkcyl6MfkRIqGJg==	1761738530.6864874
waypoint_napped-kelpie-OQlAzRBK6LRX2JEC1k67Ag==	1761738534.9527826
waypoint_burly-skink-vmOtI+3SqlpynJ.oMOLj0Q==	1761738539.355557
waypoint_humid-eland-elAVOXvvUQWx1YtwH1Axsg==	1761738543.821909
waypoint_sixth-maggot-OdFuEt+hMuMAjTkPkxd3Jw==	1761738548.2228177
waypoint_phony-rhesus-6Zn.KLeyVfFSPxIcKKZVVA==	1761738552.6917028
waypoint_skewed-oxen-wLjdeBNtZ8qvrhTEw.UDJg==	1761738557.0900748
waypoint_portly-otus-olMF3+ETp8sXCX8W3pPqtA==	1761738560.8252308
waypoint_meagre-yak-upm2tiZ0dCs4xzwgnml31Q==	1761738562.228009
waypoint_pained-beetle-oBidqC82mxrFnBOgIn4gXA==	1761738566.0959356
waypoint_skimpy-drake-bsOt767BLmYAkmlySo3aHQ==	1761738570.163491
waypoint_twenty-wrasse-nUItQIsJi3Ek1REvz8LEtA==	1761738574.6318703
waypoint_vast-whale-bXKdc6mc3ulN+hUnNvr1iA==	1761738578.297633
waypoint_quaggy-cuckoo-I6OGJ8AMscRA2LlBrB4bSw==	1761738580.098028
waypoint_setose-insect-V1x4rWYXW+Flm4wwi0ML7A==	1761738586.3671978
