Frame 1: RANSAC fitness=0.0000, ICP fitness=0.0874, ICP RMSE=0.0369
Frame 2: RANSAC fitness=0.0000, ICP fitness=0.0000, ICP RMSE=0.0000
Frame 3: RANSAC fitness=0.0000, ICP fitness=0.0003, ICP RMSE=0.0344
Frame 4: RANSAC fitness=0.0000, ICP fitness=0.0059, ICP RMSE=0.0363
Frame 5: RANSAC fitness=0.0000, ICP fitness=0.0004, ICP RMSE=0.0380
Frame 6: RANSAC fitness=0.0000, ICP fitness=0.0010, ICP RMSE=0.0377
Frame 7: RANSAC fitness=0.0000, ICP fitness=0.0000, ICP RMSE=0.0000
Frame 8: RANSAC fitness=0.0000, ICP fitness=0.0000, ICP RMSE=0.0000
Frame 9: RANSAC fitness=0.0000, ICP fitness=0.0000, ICP RMSE=0.0000
Frame 10: RANSAC fitness=0.0000, ICP fitness=0.0000, ICP RMSE=0.0000
Frame 11: RANSAC fitness=0.0000, ICP fitness=0.0000, ICP RMSE=0.0000
Frame 12: RANSAC fitness=0.0000, ICP fitness=0.0551, ICP RMSE=0.0368
Frame 13: RANSAC fitness=0.0000, ICP fitness=0.0000, ICP RMSE=0.0000
Frame 14: RANSAC fitness=0.0000, ICP fitness=0.0000, ICP RMSE=0.0000
Frame 15: RANSAC fitness=0.0000, ICP fitness=0.0000, ICP RMSE=0.0000
Frame 16: RANSAC fitness=0.0000, ICP fitness=0.0003, ICP RMSE=0.0268
Frame 17: RANSAC fitness=0.0000, ICP fitness=0.0000, ICP RMSE=0.0000
Frame 18: RANSAC fitness=0.0000, ICP fitness=0.0000, ICP RMSE=0.0000
Frame 19: RANSAC fitness=0.0000, ICP fitness=0.0000, ICP RMSE=0.0000
Frame 20: RANSAC fitness=0.0000, ICP fitness=0.0409, ICP RMSE=0.0392
Frame 21: RANSAC fitness=0.0000, ICP fitness=0.0931, ICP RMSE=0.0376
Frame 22: RANSAC fitness=0.0000, ICP fitness=0.0000, ICP RMSE=0.0000
Frame 23: RANSAC fitness=0.0000, ICP fitness=0.0000, ICP RMSE=0.0000
Frame 24: RANSAC fitness=0.0000, ICP fitness=0.0529, ICP RMSE=0.0378
Frame 25: RANSAC fitness=0.0000, ICP fitness=0.0000, ICP RMSE=0.0000
Frame 26: RANSAC fitness=0.0000, ICP fitness=0.0000, ICP RMSE=0.0000
Frame 27: RANSAC fitness=0.0000, ICP fitness=0.0000, ICP RMSE=0.0000
Frame 28: RANSAC fitness=0.0000, ICP fitness=0.0119, ICP RMSE=0.0378
Frame 29: RANSAC fitness=0.0000, ICP fitness=0.0000, ICP RMSE=0.0000
Frame 30: RANSAC fitness=0.0000, ICP fitness=0.0000, ICP RMSE=0.0000
Frame 31: RANSAC fitness=0.0000, ICP fitness=0.0000, ICP RMSE=0.0000
Frame 32: RANSAC fitness=0.0000, ICP fitness=0.0005, ICP RMSE=0.0395
Frame 33: RANSAC fitness=0.0000, ICP fitness=0.0035, ICP RMSE=0.0382
Frame 34: RANSAC fitness=0.0000, ICP fitness=0.0066, ICP RMSE=0.0365
Frame 35: RANSAC fitness=0.0000, ICP fitness=0.0000, ICP RMSE=0.0000
Frame 36: RANSAC fitness=0.0000, ICP fitness=0.0000, ICP RMSE=0.0000
Frame 37: RANSAC fitness=0.0000, ICP fitness=0.0016, ICP RMSE=0.0321
Frame 38: RANSAC fitness=0.0000, ICP fitness=0.0008, ICP RMSE=0.0235
Frame 39: RANSAC fitness=0.0000, ICP fitness=0.0000, ICP RMSE=0.0000
Frame 40: RANSAC fitness=0.0000, ICP fitness=0.0000, ICP RMSE=0.0000
Frame 41: RANSAC fitness=0.0000, ICP fitness=0.0601, ICP RMSE=0.0383
Frame 42: RANSAC fitness=0.0000, ICP fitness=0.0000, ICP RMSE=0.0000
Frame 43: RANSAC fitness=0.0000, ICP fitness=0.0000, ICP RMSE=0.0000
Frame 44: RANSAC fitness=0.0000, ICP fitness=0.0000, ICP RMSE=0.0000
Frame 45: RANSAC fitness=0.0000, ICP fitness=0.0000, ICP RMSE=0.0000
Frame 46: RANSAC fitness=0.0000, ICP fitness=0.0000, ICP RMSE=0.0000
Frame 47: RANSAC fitness=0.0000, ICP fitness=0.0000, ICP RMSE=0.0000
Frame 48: RANSAC fitness=0.0000, ICP fitness=0.0000, ICP RMSE=0.0000
Frame 49: RANSAC fitness=0.0000, ICP fitness=0.0198, ICP RMSE=0.0347
Frame 50: RANSAC fitness=0.0000, ICP fitness=0.0000, ICP RMSE=0.0000
Frame 51: RANSAC fitness=0.0000, ICP fitness=0.0003, ICP RMSE=0.0240
Frame 52: RANSAC fitness=0.0000, ICP fitness=0.0000, ICP RMSE=0.0000
Frame 53: RANSAC fitness=0.0000, ICP fitness=0.0000, ICP RMSE=0.0000
Frame 54: RANSAC fitness=0.0000, ICP fitness=0.0017, ICP RMSE=0.0374
Frame 55: RANSAC fitness=0.0000, ICP fitness=0.0234, ICP RMSE=0.0385
Frame 56: RANSAC fitness=0.0000, ICP fitness=0.0000, ICP RMSE=0.0000
Frame 57: RANSAC fitness=0.0000, ICP fitness=0.0000, ICP RMSE=0.0000
Frame 58: RANSAC fitness=0.0000, ICP fitness=0.0000, ICP RMSE=0.0000
Frames failed RANSAC: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58
Total execution time: 85.76 s
