Frame 1: RANSAC Fitness=0.2035, ICP Fitness=0.0433, RMSE=0.0379
Frame 2: RANSAC Fitness=0.2867, ICP Fitness=0.0571, RMSE=0.0379
Frame 3: RANSAC Fitness=0.3396, ICP Fitness=0.1249, RMSE=0.0371
Frame 4: RANSAC Fitness=0.2636, ICP Fitness=0.0728, RMSE=0.0364
Frame 5: RANSAC Fitness=0.2835, ICP Fitness=0.0966, RMSE=0.0364
Frame 6: RANSAC Fitness=0.3103, ICP Fitness=0.1164, RMSE=0.0363
Frame 7: RANSAC Fitness=0.3106, ICP Fitness=0.1168, RMSE=0.0362
Frame 8: RANSAC Fitness=0.3459, ICP Fitness=0.1469, RMSE=0.0363
Frame 9: RANSAC Fitness=0.4223, ICP Fitness=0.1439, RMSE=0.0363
Frame 10: RANSAC Fitness=0.3974, ICP Fitness=0.1462, RMSE=0.0362
Frame 11: RANSAC Fitness=0.4102, ICP Fitness=0.1665, RMSE=0.0364
Frame 12: RANSAC Fitness=0.5510, ICP Fitness=0.2519, RMSE=0.0362
Frame 13: RANSAC Fitness=0.6386, ICP Fitness=0.3029, RMSE=0.0354
Frame 14: RANSAC Fitness=0.4809, ICP Fitness=0.2302, RMSE=0.0349
Frame 15: RANSAC Fitness=0.5563, ICP Fitness=0.2327, RMSE=0.0369
Frame 16: RANSAC Fitness=0.5726, ICP Fitness=0.2366, RMSE=0.0362
Frame 17: RANSAC Fitness=0.5866, ICP Fitness=0.2572, RMSE=0.0367
Frame 18: RANSAC Fitness=0.6239, ICP Fitness=0.2592, RMSE=0.0348
Frame 19: RANSAC Fitness=0.6219, ICP Fitness=0.2623, RMSE=0.0366
Frame 20: RANSAC Fitness=0.5478, ICP Fitness=0.2688, RMSE=0.0357
Frame 21: RANSAC Fitness=0.4852, ICP Fitness=0.2093, RMSE=0.0360
Frame 22: RANSAC Fitness=0.6309, ICP Fitness=0.2564, RMSE=0.0369
Frame 23: RANSAC Fitness=0.5742, ICP Fitness=0.2660, RMSE=0.0361
Frame 24: RANSAC Fitness=0.5611, ICP Fitness=0.2308, RMSE=0.0359
Frame 25: RANSAC Fitness=0.5936, ICP Fitness=0.3381, RMSE=0.0355
Frame 26: RANSAC Fitness=0.6482, ICP Fitness=0.3847, RMSE=0.0341
Frame 27: RANSAC Fitness=0.7055, ICP Fitness=0.3645, RMSE=0.0362
Frame 28: RANSAC Fitness=0.5491, ICP Fitness=0.2640, RMSE=0.0353
Frame 29: RANSAC Fitness=0.6253, ICP Fitness=0.3083, RMSE=0.0347
Frame 30: RANSAC Fitness=0.5373, ICP Fitness=0.2560, RMSE=0.0361
Frame 31: RANSAC Fitness=0.5541, ICP Fitness=0.2790, RMSE=0.0351
Frame 32: RANSAC Fitness=0.6992, ICP Fitness=0.4152, RMSE=0.0343
Frame 33: RANSAC Fitness=0.5840, ICP Fitness=0.3196, RMSE=0.0353
Frame 34: RANSAC Fitness=0.5877, ICP Fitness=0.3166, RMSE=0.0351
Frame 35: RANSAC Fitness=0.6557, ICP Fitness=0.3267, RMSE=0.0349
Frame 36: RANSAC Fitness=0.5854, ICP Fitness=0.2456, RMSE=0.0363
Frame 37: RANSAC Fitness=0.5471, ICP Fitness=0.2795, RMSE=0.0357
Frame 38: RANSAC Fitness=0.6386, ICP Fitness=0.3867, RMSE=0.0340
Frame 39: RANSAC Fitness=0.7225, ICP Fitness=0.3819, RMSE=0.0348
Frame 40: RANSAC Fitness=0.6482, ICP Fitness=0.3596, RMSE=0.0347
Frame 41: RANSAC Fitness=0.6406, ICP Fitness=0.3305, RMSE=0.0356
Frame 42: RANSAC Fitness=0.6696, ICP Fitness=0.3442, RMSE=0.0353
Frame 43: RANSAC Fitness=0.6698, ICP Fitness=0.3680, RMSE=0.0342
Frame 44: RANSAC Fitness=0.7231, ICP Fitness=0.3874, RMSE=0.0348
Frame 45: RANSAC Fitness=0.5722, ICP Fitness=0.2321, RMSE=0.0360
Frame 46: RANSAC Fitness=0.7350, ICP Fitness=0.4274, RMSE=0.0342
Frame 47: RANSAC Fitness=0.6081, ICP Fitness=0.2790, RMSE=0.0357
Frame 48: RANSAC Fitness=0.7680, ICP Fitness=0.3613, RMSE=0.0348
Frame 49: RANSAC Fitness=0.7645, ICP Fitness=0.4325, RMSE=0.0341
Frame 50: RANSAC Fitness=0.8367, ICP Fitness=0.5396, RMSE=0.0333
Frame 51: RANSAC Fitness=0.6063, ICP Fitness=0.3402, RMSE=0.0344
Frame 52: RANSAC Fitness=0.6469, ICP Fitness=0.3336, RMSE=0.0346
Frame 53: RANSAC Fitness=0.5062, ICP Fitness=0.2547, RMSE=0.0353
Frame 54: RANSAC Fitness=0.5863, ICP Fitness=0.2853, RMSE=0.0358
Frame 55: RANSAC Fitness=0.4818, ICP Fitness=0.2395, RMSE=0.0356
Frame 56: RANSAC Fitness=0.5878, ICP Fitness=0.3047, RMSE=0.0357
Frame 57: RANSAC Fitness=0.5521, ICP Fitness=0.3242, RMSE=0.0345
Frame 58: RANSAC Fitness=0.8009, ICP Fitness=0.4722, RMSE=0.0349
Total execution time: 537.39 s
