Frame 1: Fitness=0.0571, RMSE=0.0451
Frame 2: Fitness=0.0378, RMSE=0.0438
Frame 3: Fitness=0.0543, RMSE=0.0453
Frame 4: Fitness=0.0284, RMSE=0.0438
Frame 5: Fitness=0.0303, RMSE=0.0446
Frame 6: Fitness=0.0307, RMSE=0.0433
Frame 7: Fitness=0.0391, RMSE=0.0446
Frame 8: Fitness=0.0349, RMSE=0.0431
Frame 9: Fitness=0.0314, RMSE=0.0442
Frame 10: Fitness=0.0334, RMSE=0.0444
Frame 11: Fitness=0.0247, RMSE=0.0438
Frame 12: Fitness=0.0456, RMSE=0.0446
Frame 13: Fitness=0.0406, RMSE=0.0438
Frame 14: Fitness=0.0605, RMSE=0.0408
Frame 15: Fitness=0.0395, RMSE=0.0439
Frame 16: Fitness=0.0498, RMSE=0.0430
Frame 17: Fitness=0.0547, RMSE=0.0448
Frame 18: Fitness=0.0493, RMSE=0.0440
Frame 19: Fitness=0.0716, RMSE=0.0440
Frame 20: Fitness=0.0455, RMSE=0.0452
Frame 21: Fitness=0.0358, RMSE=0.0464
Frame 22: Fitness=0.0335, RMSE=0.0454
Frame 23: Fitness=0.0532, RMSE=0.0448
Frame 24: Fitness=0.0376, RMSE=0.0442
Frame 25: Fitness=0.0396, RMSE=0.0447
Frame 26: Fitness=0.0400, RMSE=0.0435
Frame 27: Fitness=0.0344, RMSE=0.0434
Frame 28: Fitness=0.0462, RMSE=0.0440
Frame 29: Fitness=0.0391, RMSE=0.0431
Frame 30: Fitness=0.0333, RMSE=0.0438
Frame 31: Fitness=0.0453, RMSE=0.0417
Frame 32: Fitness=0.0399, RMSE=0.0445
Frame 33: Fitness=0.0496, RMSE=0.0445
Frame 34: Fitness=0.0447, RMSE=0.0463
Frame 35: Fitness=0.0487, RMSE=0.0444
Frame 36: Fitness=0.0431, RMSE=0.0452
Frame 37: Fitness=0.0400, RMSE=0.0422
Frame 38: Fitness=0.0307, RMSE=0.0449
Frame 39: Fitness=0.0483, RMSE=0.0441
Frame 40: Fitness=0.0340, RMSE=0.0442
Frame 41: Fitness=0.0269, RMSE=0.0434
Frame 42: Fitness=0.0330, RMSE=0.0422
Frame 43: Fitness=0.0301, RMSE=0.0452
Frame 44: Fitness=0.0441, RMSE=0.0447
Frame 45: Fitness=0.0327, RMSE=0.0438
Frame 46: Fitness=0.0334, RMSE=0.0440
Frame 47: Fitness=0.0516, RMSE=0.0439
Frame 48: Fitness=0.0522, RMSE=0.0441
Frame 49: Fitness=0.0382, RMSE=0.0453
Frame 50: Fitness=0.0594, RMSE=0.0456
Frame 51: Fitness=0.0370, RMSE=0.0447
Frame 52: Fitness=0.0357, RMSE=0.0450
Frame 53: Fitness=0.0263, RMSE=0.0429
Frame 54: Fitness=0.0276, RMSE=0.0450
Frame 55: Fitness=0.0204, RMSE=0.0438
Frame 56: Fitness=0.0264, RMSE=0.0436
Frame 57: Fitness=0.0275, RMSE=0.0435
Frame 58: Fitness=0.0581, RMSE=0.0442
Total execution time: 141.22 s
