Frame 1: Fitness=0.0085, RMSE=0.0283
Frame 2: Fitness=0.0000, RMSE=0.0000
Frame 3: Fitness=0.0000, RMSE=0.0000
Frame 4: Fitness=0.0000, RMSE=0.0000
Frame 5: Fitness=0.0000, RMSE=0.0000
Frame 6: Fitness=0.0107, RMSE=0.0281
Frame 7: Fitness=0.0000, RMSE=0.0000
Frame 8: Fitness=0.0000, RMSE=0.0000
Frame 9: Fitness=0.0125, RMSE=0.0279
Frame 10: Fitness=0.0008, RMSE=0.0122
Frame 11: Fitness=0.0000, RMSE=0.0000
Frame 12: Fitness=0.0113, RMSE=0.0272
Frame 13: Fitness=0.0068, RMSE=0.0297
Frame 14: Fitness=0.0000, RMSE=0.0000
Frame 15: Fitness=0.0131, RMSE=0.0275
Frame 16: Fitness=0.0064, RMSE=0.0274
Frame 17: Fitness=0.0040, RMSE=0.0249
Frame 18: Fitness=0.0000, RMSE=0.0000
Frame 19: Fitness=0.0105, RMSE=0.0267
Frame 20: Fitness=0.0000, RMSE=0.0000
Frame 21: Fitness=0.0000, RMSE=0.0000
Frame 22: Fitness=0.0036, RMSE=0.0274
Frame 23: Fitness=0.0092, RMSE=0.0278
Frame 24: Fitness=0.0000, RMSE=0.0000
Frame 25: Fitness=0.0111, RMSE=0.0292
Frame 26: Fitness=0.0112, RMSE=0.0264
Frame 27: Fitness=0.0000, RMSE=0.0000
Frame 28: Fitness=0.0036, RMSE=0.0279
Frame 29: Fitness=0.0000, RMSE=0.0000
Frame 30: Fitness=0.0079, RMSE=0.0277
Frame 31: Fitness=0.0060, RMSE=0.0279
Frame 32: Fitness=0.0000, RMSE=0.0000
Frame 33: Fitness=0.0000, RMSE=0.0000
Frame 34: Fitness=0.0000, RMSE=0.0000
Frame 35: Fitness=0.0000, RMSE=0.0000
Frame 36: Fitness=0.0101, RMSE=0.0262
Frame 37: Fitness=0.0000, RMSE=0.0000
Frame 38: Fitness=0.0144, RMSE=0.0283
Frame 39: Fitness=0.0000, RMSE=0.0000
Frame 40: Fitness=0.0000, RMSE=0.0000
Frame 41: Fitness=0.0000, RMSE=0.0000
Frame 42: Fitness=0.0000, RMSE=0.0000
Frame 43: Fitness=0.0050, RMSE=0.0277
Frame 44: Fitness=0.0112, RMSE=0.0284
Frame 45: Fitness=0.0000, RMSE=0.0000
Frame 46: Fitness=0.0038, RMSE=0.0264
Frame 47: Fitness=0.0000, RMSE=0.0000
Frame 48: Fitness=0.0076, RMSE=0.0285
Frame 49: Fitness=0.0000, RMSE=0.0000
Frame 50: Fitness=0.0110, RMSE=0.0302
Frame 51: Fitness=0.0119, RMSE=0.0293
Frame 52: Fitness=0.0066, RMSE=0.0280
Frame 53: Fitness=0.0000, RMSE=0.0000
Frame 54: Fitness=0.0000, RMSE=0.0000
Frame 55: Fitness=0.0000, RMSE=0.0000
Frame 56: Fitness=0.0050, RMSE=0.0277
Frame 57: Fitness=0.0091, RMSE=0.0289
Frame 58: Fitness=0.0099, RMSE=0.0261
Frames failed: 2, 3, 4, 5, 7, 8, 11, 14, 18, 20, 21, 24, 27, 29, 32, 33, 34, 35, 37, 39, 40, 41, 42, 45, 47, 49, 53, 54, 55
Total execution time: 70.83 s
