Frame 1: Fitness=0.1264, RMSE=0.0688
Frame 2: Fitness=0.0399, RMSE=0.0703
Frame 3: Fitness=0.0595, RMSE=0.0685
Frame 4: Fitness=0.0000, RMSE=0.0000
Frame 5: Fitness=0.0000, RMSE=0.0000
Frame 6: Fitness=0.0000, RMSE=0.0000
Frame 7: Fitness=0.1106, RMSE=0.0706
Frame 8: Fitness=0.0000, RMSE=0.0000
Frame 9: Fitness=0.0915, RMSE=0.0708
Frame 10: Fitness=0.0480, RMSE=0.0689
Frame 11: Fitness=0.0000, RMSE=0.0000
Frame 12: Fitness=0.0000, RMSE=0.0000
Frame 13: Fitness=0.0000, RMSE=0.0000
Frame 14: Fitness=0.0799, RMSE=0.0693
Frame 15: Fitness=0.0409, RMSE=0.0637
Frame 16: Fitness=0.0000, RMSE=0.0000
Frame 17: Fitness=0.0000, RMSE=0.0000
Frame 18: Fitness=0.0000, RMSE=0.0000
Frame 19: Fitness=0.0000, RMSE=0.0000
Frame 20: Fitness=0.1489, RMSE=0.0683
Frame 21: Fitness=0.0951, RMSE=0.0685
Frame 22: Fitness=0.0000, RMSE=0.0000
Frame 23: Fitness=0.0000, RMSE=0.0000
Frame 24: Fitness=0.0000, RMSE=0.0000
Frame 25: Fitness=0.1900, RMSE=0.0636
Frame 26: Fitness=0.0000, RMSE=0.0000
Frame 27: Fitness=0.0000, RMSE=0.0000
Frame 28: Fitness=0.0000, RMSE=0.0000
Frame 29: Fitness=0.0000, RMSE=0.0000
Frame 30: Fitness=0.1469, RMSE=0.0675
Frame 31: Fitness=0.0910, RMSE=0.0675
Frame 32: Fitness=0.0000, RMSE=0.0000
Frame 33: Fitness=0.0000, RMSE=0.0000
Frame 34: Fitness=0.0000, RMSE=0.0000
Frame 35: Fitness=0.0000, RMSE=0.0000
Frame 36: Fitness=0.1071, RMSE=0.0696
Frame 37: Fitness=0.0000, RMSE=0.0000
Frame 38: Fitness=0.2359, RMSE=0.0679
Frame 39: Fitness=0.0000, RMSE=0.0000
Frame 40: Fitness=0.0000, RMSE=0.0000
Frame 41: Fitness=0.0615, RMSE=0.0670
Frame 42: Fitness=0.0000, RMSE=0.0000
Frame 43: Fitness=0.0000, RMSE=0.0000
Frame 44: Fitness=0.0000, RMSE=0.0000
Frame 45: Fitness=0.0000, RMSE=0.0000
Frame 46: Fitness=0.0000, RMSE=0.0000
Frame 47: Fitness=0.0000, RMSE=0.0000
Frame 48: Fitness=0.0000, RMSE=0.0000
Frame 49: Fitness=0.0000, RMSE=0.0000
Frame 50: Fitness=0.0000, RMSE=0.0000
Frame 51: Fitness=0.0000, RMSE=0.0000
Frame 52: Fitness=0.0000, RMSE=0.0000
Frame 53: Fitness=0.0000, RMSE=0.0000
Frame 54: Fitness=0.0000, RMSE=0.0000
Frame 55: Fitness=0.0000, RMSE=0.0000
Frame 56: Fitness=0.0000, RMSE=0.0000
Frame 57: Fitness=0.0000, RMSE=0.0000
Frame 58: Fitness=0.0000, RMSE=0.0000

Frame falliti (fitness=0): 4, 5, 6, 8, 11, 12, 13, 16, 17, 18, 19, 22, 23, 24, 26, 27, 28, 29, 32, 33, 34, 35, 37, 39, 40, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58

Tempo totale esecuzione: 147.26 secondi
